泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
หกสิบล้าน	hok sip laan	hokˇ sipˇ lāan~	六千萬	derived	
ห้าล้าน	ha laan	hāˋ lāan~	五百萬	derived	
สี่แสน	si saen	sīˇ sɛ̄nˊ	四十萬	derived	
สามหมื่น	saam meuun	sāmˊ mɯ̄nˇ	三萬	derived	
สองพัน	song phan	sɔ̄ngˊ pan	兩千	derived	
หนึ่งร้อย	neung roi	nɯngˇ rɔ̄y~	一百	derived	
หกสิบ	hok sip	hokˇ sipˇ	六十	derived	
ศูนย์	soon	sūnˊ	0	derived	
หนึ่ง	neung	nɯngˇ	1	derived	
สอง	song	sɔ̄ngˊ	2	derived	
สาม	saam	sāmˊ	3	derived	
สี่	si	sīˇ	4	derived	
ห้า	ha	hāˋ	5	derived	
หก	hok	hokˇ	6	derived	
เจ็ด	chet	jetˇ	7	derived	
แปด	paet	bɛtˇ	8	derived	
เก้า	kao	gāuˋ	9	derived	
สิบ	sip	sipˇ	10	derived	
สิบเอ็ด	sip et	sipˇ etˇ	11	derived	
สิบสอง	sip song	sipˇ sɔ̄ngˊ	12	derived	
สิบสาม	sip saam	sipˇ sāmˊ	13	derived	
สิบสี่	sip si	sipˇ sīˇ	14	derived	
สิบห้า	sip ha	sipˇ hāˋ	15	derived	
สิบหก	sip hok	sipˇ hokˇ	16	derived	
สิบเจ็ด	sip chet	sipˇ jetˇ	17	derived	
สิบแปด	sip paet	sipˇ bɛtˇ	18	derived	
สิบเก้า	sip kao	sipˇ gāuˋ	19	derived	
ยี่สิบ	yi sip	yīˋ sipˇ	20	derived	
ยี่สิบเอ็ด	yi sip et	yīˇ sipˇ etˇ	21	derived	
ยี่สิบสอง	yi sip song	yīˇ sipˇ sɔ̄ngˊ	22	derived	
ยี่สิบสาม	yi sip saam	yīˇ sipˇ sāmˊ	23	derived	
ยี่สิบสี่	yi sip si	yīˇ sipˇ sīˇ	24	derived	
ยี่สิบห้า	yi sip ha	yīˇ sipˇ hāˋ	25	derived	
ยี่สิบหก	yi sip hok	yīˇ sipˇ hokˇ	26	derived	
ยี่สิบเจ็ด	yi sip chet	yīˇ sipˇ jetˇ	27	derived	
ยี่สิบแปด	yi sip paet	yīˇ sipˇ bɛtˇ	28	derived	
ยี่สิบเก้า	yi sip kao	yīˇ sipˇ gāuˋ	29	derived	
สามสิบ	saam sip	sāmˊ sipˇ	30	derived	
หนึ่งร้อยเอ็ด	neung roi et	nɯngˇ rɔ̄y~ etˇ	101	derived	
หนึ่งร้อยสอง	neung roi song	nɯngˇ rɔ̄y~ sɔ̄ngˊ	102	derived	
หนึ่งร้อยสาม	neung roi saam	nɯngˇ rɔ̄y~ sāmˊ	103	derived	
หนึ่งร้อยสี่	neung roi si	nɯngˇ rɔ̄y~ sīˇ	104	derived	
หนึ่งร้อยห้า	neung roi ha	nɯngˇ rɔ̄y~ hāˋ	105	derived	
หนึ่งร้อยหก	neung roi hok	nɯngˇ rɔ̄y~ hokˇ	106	derived	
หนึ่งร้อยเจ็ด	neung roi chet	nɯngˇ rɔ̄y~ jetˇ	107	derived	
หนึ่งร้อยแปด	neung roi paet	nɯngˇ rɔ̄y~ bɛtˇ	108	derived	
หนึ่งร้อยเก้า	neung roi kao	nɯngˇ rɔ̄y~ gāuˋ	109	derived	
หนึ่งร้อยสิบ	neung roi sip	nɯngˇ rɔ̄y~ sipˇ	110	derived	
หนึ่งร้อยสิบเอ็ด	neung roi sip et	nɯngˇ rɔ̄y~ sipˇ etˇ	111	derived	
หนึ่งร้อยสิบสอง	neung roi sip song	nɯngˇ rɔ̄y~ sipˇ sɔ̄ngˊ	112	derived	
หนึ่งร้อยสิบสาม	neung roi sip saam	nɯngˇ rɔ̄y~ sipˇ sāmˊ	113	derived	
หนึ่งร้อยสิบสี่	neung roi sip si	nɯngˇ rɔ̄y~ sipˇ sīˇ	114	derived	
หนึ่งร้อยสิบห้า	neung roi sip ha	nɯngˇ rɔ̄y~ sipˇ hāˋ	115	derived	
หนึ่งร้อยสิบหก	neung roi sip hok	nɯngˇ rɔ̄y~ sipˇ hokˇ	116	derived	
หนึ่งร้อยสิบเจ็ด	neung roi sip chet	nɯngˇ rɔ̄y~ sipˇ jetˇ	117	derived	
หนึ่งร้อยสิบแปด	neung roi sip paet	nɯngˇ rɔ̄y~ sipˇ bɛtˇ	118	derived	
หนึ่งร้อยสิบเก้า	neung roi sip kao	nɯngˇ rɔ̄y~ sipˇ gāuˋ	119	derived	
หนึ่งร้อยยี่สิบ	neung roi yi sip	nɯngˇ rɔ̄y~ yīˇ sipˇ	120	derived	
หนึ่งร้อยสิบ	neung roi sip	nɯngˇ rɔ̄y~ sipˇ	110	derived	
หนึ่งร้อยยี่สิบ	neung roi yi sip	nɯngˇ rɔ̄y~ yīˇ sipˇ	120	derived	
หนึ่งร้อยสามสิบ	neung roi saam sip	nɯngˇ rɔ̄y~ sāmˊ sipˇ	130	derived	
หนึ่งร้อยสี่สิบ	neung roi si sip	nɯngˇ rɔ̄y~ sīˇ sipˇ	140	derived	
หนึ่งร้อยห้าสิบ	neung roi ha sip	nɯngˇ rɔ̄y~ hāˋ sipˇ	150	derived	
หนึ่งร้อยหกสิบ	neung roi hok sip	nɯngˇ rɔ̄y~ hokˇ sipˇ	160	derived	
หนึ่งร้อยเจ็ดสิบ	neung roi chet sip	nɯngˇ rɔ̄y~ jetˇ sipˇ	170	derived	
หนึ่งร้อยแปดสิบ	neung roi paet sip	nɯngˇ rɔ̄y~ bɛtˇ sipˇ	180	derived	
หนึ่งร้อยเก้าสิบ	neung roi kao sip	nɯngˇ rɔ̄y~ gāuˋ sipˇ	190	derived	
สองร้อย	song roi	sɔ̄ngˊ rɔ̄y~	200	derived	
พ.ศ. 2568	pho so song phan haa roi hok sip paet	pɔ̄ sɔ̄ˊ sɔ̄ngˊ pan hāˋ rɔ̄y~ hokˇ sipˇ bɛtˇ	佛曆2568	derived	พ.ศ. 唸法（唸字母名 pɔ̄-sɔ̄ˊ 還是唸全稱 phutthasakkarat）請 Nalin 確認慣用方式，這裡先照唸字母名處理
